/University,of,New,Hampshire-,Coastal,Ocean,Observing,Center,,,,,,,,,,,
2009,49,43787,43.0721,-70.7111,142,0,2.179,29.907,1019.8,358.763043,357.051867,-9999,-9999,25,,,,
2009,49,43807,43.0721,-70.7111,142,0,2.162,29.901,1019.8,358.189861,356.482023,-9999,-9999,25,,,,
2009,49,43827,43.0721,-70.7111,139,0,2.143,29.89,1019.8,357.544532,355.840689,-9999,-9999,25,,,,
2009,49,43847,43.0721,-70.7111,140,0,2.131,30.004,1019.8,357.084281,355.383786,-9999,-9999,25,,,,
2009,49,43867,43.0721,-70.7111,143,0,2.14,30.397,1019.8,356.788352,355.087357,-9999,-9999,25,,,,
2009,49,43887,43.0721,-70.711,142,0.2,2.157,30.623,1019.8,356.180333,354.478718,-9999,-9999,25,,,,
2009,49,43907,43.072,-70.7111,198,0.6,2.172,30.695,1019.8,355.871893,354.169808,-9999,-9999,25,,,,
2009,49,43927,43.072,-70.711,94,0.8,2.172,30.628,1019.8,355.512959,353.80613,-9999,-9999,25,,,,
2009,49,43947,43.0721,-70.7107,41,2.3,2.165,30.425,1019.8,355.310443,353.6045,-9999,-9999,25,,,,
2009,49,43967,43.0725,-70.7104,28,2.9,2.137,30.163,1019.8,355.592054,353.887602,-9999,-9999,25,,,,
2009,49,43987,43.073,-70.7101,20,3.2,2.102,29.959,1019.8,357.002486,355.295304,-9999,-9999,25,,,,
2009,49,44007,43.0736,-70.7098,23,3.5,2.015,29.619,1019.8,357.887024,356.189024,-9999,-9999,25,,,,
2009,49,44027,43.0742,-70.7093,50,3.7,1.874,29.482,1019.8,358.251838,356.568748,-9999,-9999,25,,,,
2009,49,44047,43.0743,-70.7084,96,4,1.82,29.5,1019.8,357.765834,356.095571,-9999,-9999,25,,,,
2009,49,44067,43.0741,-70.7075,121,4.3,1.855,29.843,1019.8,356.324479,354.659939,-9999,-9999,25,,,,
2009,49,44087,43.0735,-70.7067,137,4.8,1.916,29.978,1019.8,354.722981,353.056398,-9999,-9999,25,,,,
2009,49,44107,43.0728,-70.706,149,4.9,1.9,29.843,1019.8,353.079808,351.426047,-9999,-9999,25,,,,
2009,49,44127,43.072,-70.7055,164,5,1.899,29.806,1019.8,351.851666,350.205136,-9999,-9999,25,,,,
2009,49,44147,43.0711,-70.7053,170,5.3,1.862,29.753,1019.8,351.091274,349.455952,-9999,-9999,25,,,,
2009,49,44167,43.0701,-70.7051,171,5.6,1.84,29.763,1019.8,350.656398,349.022773,-9999,-9999,25,,,,
2009,49,44187,43.069,-70.7049,173,6.5,1.825,29.783,1019.8,350.102917,348.470261,-9999,-9999,25,,,,
2009,49,44207,43.0679,-70.7047,171,6.5,1.881,29.938,1019.8,349.325611,347.687882,-9999,-9999,25,,,,
2009,49,44227,43.0667,-70.7044,171,6.5,1.963,30.143,1019.8,348.932259,347.278706,-9999,-9999,25,,,,
2009,49,44247,43.0655,-70.7041,170,7.9,2.013,30.4,1019.7,348.986452,347.310217,-9999,-9999,25,,,,
2009,49,44267,43.064,-70.7038,168,8.8,2.086,31.357,1019.7,349.504264,347.806023,-9999,-9999,25,,,,
2009,49,44287,43.0624,-70.7033,167,8.7,2.127,31.858,1019.7,350.311014,348.600522,-9999,-9999,25,,,,
2009,49,44307,43.0609,-70.7028,163,8.7,2.114,31.918,1019.7,351.693226,349.973339,-9999,-9999,25,,,,
2009,49,44327,43.0594,-70.7022,162,8.7,2.121,31.94,1019.6,353.300673,351.566317,-9999,-9999,25,,,,
2009,49,44347,43.0579,-70.7015,161,8.7,2.164,31.904,1019.6,353.595441,351.847969,-9999,-9999,25,,,,
2009,49,44367,43.0564,-70.7008,161,8.8,2.195,31.825,1019.6,352.883268,351.13384,-9999,-9999,25,,,,
2009,49,44387,43.0549,-70.7001,157,8.8,2.192,31.717,1019.6,353.614518,351.857243,-9999,-9999,25,,,,
2009,49,44407,43.0536,-70.6991,147,8.8,2.15,31.589,1019.6,355.389908,353.626707,-9999,-9999,25,,,,
2009,49,44427,43.0523,-70.6977,138,8.8,2.101,31.483,1019.6,357.163483,355.392129,-9999,-9999,25,,,,
2009,49,44447,43.0512,-70.6962,134,8.8,2.075,31.394,1019.6,358.142586,356.365426,-9999,-9999,25,,,,
2009,49,44467,43.0501,-70.6947,133,8.9,2.018,31.228,1019.6,358.373424,356.599201,-9999,-9999,25,,,,
2009,49,44487,43.0491,-70.693,124,8.9,1.942,31.09,1019.5,358.341042,356.574497,-9999,-9999,25,,,,
2009,49,44507,43.0482,-70.6911,121,8.9,1.883,30.98,1019.5,357.92533,356.16727,-9999,-9999,25,,,,
2009,49,44527,43.0476,-70.6892,104,8.9,1.816,30.892,1019.5,357.108082,355.353885,-9999,-9999,25,,,,
2009,49,44547,43.0473,-70.687,96,8.9,1.758,30.839,1019.5,356.157848,354.41327,-9999,-9999,25,,,,
2009,49,44567,43.0471,-70.6848,94,8.8,1.702,30.733,1019.5,354.941809,353.211531,-9999,-9999,25,,,,
2009,49,44587,43.047,-70.6827,95,8.7,1.649,30.613,1019.5,353.767478,352.05349,-9999,-9999,25,,,,
2009,49,44607,43.0469,-70.6806,94,8.7,1.63,30.628,1019.5,352.100651,350.39372,-9999,-9999,25,,,,
2009,49,44627,43.0467,-70.6785,96,8.7,1.664,31.188,1019.5,350.654306,348.951253,-9999,-9999,25,,,,
2009,49,44647,43.0465,-70.6764,98,8.7,1.781,31.974,1019.5,348.973165,347.264306,-9999,-9999,25,,,,
2009,49,44667,43.0463,-70.6743,98,8.7,1.86,32.176,1019.5,346.555116,344.845263,-9999,-9999,25,,,,
2009,49,44687,43.046,-70.6722,100,8.7,1.908,32.218,1019.5,340.943911,339.25591,-9999,-9999,25,,,,
2009,49,44707,43.0458,-70.6701,101,8.7,1.946,32.233,1019.5,333.517031,331.860109,-9999,-9999,25,,,,
2009,49,44727,43.0454,-70.668,103,8.7,1.968,32.236,1019.5,327.430894,325.801975,-9999,-9999,25,,,,
2009,49,44747,43.0451,-70.6659,104,8.8,1.975,32.242,1019.5,323.0021,321.395373,-9999,-9999,25,,,,
2009,49,44767,43.0447,-70.6638,103,8.7,1.995,32.259,1019.5,319.954873,318.360057,-9999,-9999,25,,,,
2009,49,44787,43.0443,-70.6617,102,8.7,2.07,32.281,1019.5,317.649641,316.057378,-9999,-9999,25,,,,
2009,49,44807,43.044,-70.6596,99,8.7,2.138,32.29,1019.5,316.195678,314.598625,-9999,-9999,25,,,,
2009,49,44827,43.0438,-70.6575,99,8.7,2.177,32.309,1019.5,316.886236,315.285802,-9999,-9999,25,,,,
2009,49,44847,43.0435,-70.6554,100,8.7,2.201,32.316,1019.5,319.196948,317.57867,-9999,-9999,25,,,,
2009,49,44867,43.0432,-70.6533,101,8.8,2.225,32.314,1019.5,321.922703,320.288062,-9999,-9999,25,,,,
2009,49,44887,43.0429,-70.6512,101,8.7,2.227,32.313,1019.5,324.005286,322.35947,-9999,-9999,25,,,,
2009,49,44907,43.0426,-70.6491,101,8.7,2.224,32.316,1019.5,325.599299,323.94628,-9999,-9999,25,,,,
2009,49,44927,43.0423,-70.647,101,8.7,2.222,32.316,1019.5,326.651591,324.992087,-9999,-9999,25,,,,
2009,49,44947,43.042,-70.6449,102,8.7,2.225,32.315,1019.5,327.270687,325.609861,-9999,-9999,25,,,,
2009,49,44967,43.0416,-70.6428,102,8.8,2.212,32.318,1019.5,328.05599,326.395327,-9999,-9999,25,,,,
2009,49,44987,43.0413,-70.6407,101,8.7,2.208,32.318,1019.5,329.053825,327.388358,-9999,-9999,25,,,,
2009,49,45007,43.041,-70.6386,101,8.7,2.216,32.314,1019.5,330.359867,328.686317,-9999,-9999,25,,,,
2009,49,45027,43.0407,-70.6365,101,8.7,2.212,32.318,1019.5,331.622527,329.94149,-9999,-9999,25,,,,
2009,49,45047,43.0404,-70.6344,101,8.7,2.209,32.321,1019.5,332.828554,331.143181,-9999,-9999,25,,,,
2009,49,45067,43.0401,-70.6323,101,8.8,2.209,32.325,1019.5,333.799257,332.10612,-9999,-9999,25,,,,
2009,49,45087,43.0398,-70.6302,100,8.7,2.217,32.328,1019.5,334.373856,332.679718,-9999,-9999,25,,,,
2009,49,45107,43.0395,-70.6281,100,8.7,2.23,32.334,1019.5,335.062552,333.363504,-9999,-9999,25,,,,
2009,49,45127,43.0392,-70.6259,98,8.7,2.259,32.342,1019.5,335.996578,334.289111,-9999,-9999,25,,,,
2009,49,45147,43.0389,-70.6238,100,8.7,2.337,32.358,1019.5,337.501115,335.775678,-9999,-9999,25,,,,
2009,49,45167,43.0387,-70.6217,100,8.7,2.421,32.369,1019.5,339.262736,337.512051,-9999,-9999,25,,,,
2009,49,45187,43.0384,-70.6196,101,8.7,2.487,32.373,1019.5,341.302258,339.533006,-9999,-9999,25,,,,
2009,49,45207,43.0381,-70.6175,100,8.7,2.544,32.38,1019.5,343.390123,341.603429,-9999,-9999,25,,,,
2009,49,45227,43.0378,-70.6154,99,8.7,2.588,32.384,1019.5,345.501079,343.691732,-9999,-9999,25,,,,
2009,49,45247,43.0375,-70.6133,99,8.7,2.627,32.392,1019.5,347.454399,345.633383,-9999,-9999,25,,,,
2009,49,45267,43.0373,-70.6112,98,8.7,2.659,32.394,1019.5,349.267485,347.430498,-9999,-9999,25,,,,
2009,49,45287,43.037,-70.609,99,8.7,2.687,32.404,1019.5,351.249231,349.402795,-9999,-9999,25,,,,
2009,49,45307,43.0367,-70.6069,100,8.7,2.705,32.406,1019.5,352.975744,351.112809,-9999,-9999,25,,,,
2009,49,45327,43.0365,-70.6048,98,8.7,2.723,32.414,1019.5,354.903071,353.025987,-9999,-9999,25,,,,
2009,49,45347,43.0362,-70.6027,100,8.7,2.743,32.394,1019.5,356.371385,354.485218,-9999,-9999,25,,,,
2009,49,45367,43.0358,-70.6006,106,8.7,2.763,32.407,1019.5,357.64046,355.746532,-9999,-9999,25,,,,
2009,49,45387,43.0355,-70.5985,100,8.7,2.78,32.404,1019.5,358.928756,357.026473,-9999,-9999,25,,,,
2009,49,45407,43.0352,-70.5964,99,8.7,2.804,32.411,1019.5,360.311737,358.393308,-9999,-9999,25,,,,
2009,49,45427,43.0349,-70.5943,99,8.7,2.824,32.412,1019.5,361.823241,359.895355,-9999,-9999,25,,,,
2009,49,45447,43.0347,-70.5922,99,8.7,2.841,32.411,1019.5,363.36009,361.422854,-9999,-9999,25,,,,
2009,49,45467,43.0344,-70.5901,98,8.7,2.864,32.419,1019.5,365.13897,363.189058,-9999,-9999,25,,,,
2009,49,45487,43.0341,-70.5879,99,8.8,2.889,32.422,1019.5,366.559964,364.597352,-9999,-9999,25,,,,
2009,49,45507,43.0339,-70.5858,99,8.7,2.912,32.429,1019.5,367.656406,365.687494,-9999,-9999,25,,,,
2009,49,45527,43.0336,-70.5837,102,8.8,2.942,32.436,1019.5,368.676799,366.692516,-9999,-9999,25,,,,
2009,49,45547,43.0331,-70.5817,110,8.7,2.977,32.437,1019.5,369.335388,367.340162,-9999,-9999,25,,,,
2009,49,45567,43.0325,-70.5797,114,8.8,3.016,32.442,1019.5,369.879112,367.878528,-9999,-9999,25,,,,
2009,49,45587,43.032,-70.5776,100,8.8,3.046,32.441,1019.5,370.75889,368.747089,-9999,-9999,25,,,,
2009,49,45607,43.0319,-70.5755,95,8.7,3.081,32.448,1019.5,371.493467,369.470327,-9999,-9999,25,,,,
2009,49,45627,43.0317,-70.5734,97,8.7,3.116,32.451,1019.5,372.11656,370.08581,-9999,-9999,25,,,,
2009,49,45647,43.0314,-70.5713,98,8.3,3.145,32.449,1019.5,372.660917,370.622027,-9999,-9999,25,,,,
2009,49,45667,43.0312,-70.5696,102,5.7,3.176,32.464,1019.6,373.088769,371.062968,-9999,-9999,25,,,,
2009,49,45687,43.031,-70.5686,106,3,3.249,32.473,1019.6,373.609885,371.564736,-9999,-9999,25,,,,
2009,49,45707,43.0309,-70.5681,109,1.6,3.317,32.457,1019.6,373.944788,371.889021,-9999,-9999,25,,,,
2009,49,45727,43.0309,-70.5678,83,1,3.371,32.437,1019.6,374.672789,372.602361,-9999,-9999,25,,,,
2009,49,45747,43.0309,-70.5676,62,0.5,3.401,32.468,1019.6,376.221614,374.138338,-9999,-9999,25,,,,
2009,49,45767,43.031,-70.5677,273,0.3,3.404,32.493,1019.6,380.487212,378.373449,-9999,-9999,25,,,,
2009,49,45787,43.031,-70.5677,229,0.3,3.408,32.496,1019.6,383.695578,381.560849,-9999,-9999,25,,,,
2009,49,45807,43.031,-70.5677,228,0.3,3.448,32.485,1019.6,384.246357,382.099206,-9999,-9999,25,,,,
2009,49,45827,43.031,-70.5678,261,0.2,3.482,32.483,1019.6,383.732994,381.580026,-9999,-9999,25,,,,
2009,49,45847,43.031,-70.5678,224,0.2,3.524,32.483,1019.6,383.331955,381.172052,-9999,-9999,25,,,,
2009,49,45867,43.031,-70.5678,218,0.1,3.573,32.485,1019.5,383.205201,381.031934,-9999,-9999,25,,,,
2009,49,45887,43.031,-70.5678,246,0.2,3.581,32.483,1019.5,383.311553,381.135635,-9999,-9999,25,,,,
